Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 11:03:44
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius left (85904), ,  Gastrocnemius right (85873), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0302586, -0.0125887, 0.0302586, -0.012253, 0.0302586, -0.0132601, 0.0302586, 0.0137636, 0.0302586, -0.0283665, 0.0302586, -0.0307164, 0.0302586, -0.0072175, 0.0302586, -0.0157778, , , , , , , , , , , , , , , , , , , , , , 
0.0307241, -0.0115816, 0.0307241, -0.0135958, 0.0307241, -0.0135958, 0.0307241, 0.0130922, 0.0307241, -0.0281987, 0.0307241, -0.0298772, 0.0307241, -0.0030213, 0.0307241, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0311897, -0.0099031, 0.0311897, -0.0142672, 0.0311897, -0.0129244, 0.0311897, 0.0132601, 0.0311897, -0.0280308, 0.0311897, -0.0283665, 0.0311897, -0.0041962, 0.0311897, -0.0152743, , , , , , , , , , , , , , , , , , , , , , 
0.0316552, -0.0083925, 0.0316552, -0.0149386, 0.0316552, -0.0130922, 0.0316552, 0.0146029, 0.0316552, -0.0273594, 0.0316552, -0.0270237, 0.0316552, -0.0102388, 0.0316552, -0.0146029, , , , , , , , , , , , , , , , , , , , , , 
0.0321207, -0.0083925, 0.0321207, -0.01561, 0.0321207, -0.012253, 0.0321207, 0.0166171, 0.0321207, -0.0276951, 0.0321207, -0.0260166, 0.0321207, -0.0149386, 0.0321207, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
0.0325862, -0.010071, 0.0325862, -0.0149386, 0.0325862, -0.0115816, 0.0325862, 0.0176242, 0.0325862, -0.0273594, 0.0325862, -0.0256809, 0.0325862, -0.0149386, 0.0325862, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0330517, -0.012253, 0.0330517, -0.0132601, 0.0330517, -0.0115816, 0.0330517, 0.0176242, 0.0330517, -0.0270237, 0.0330517, -0.0250095, 0.0330517, -0.012253, 0.0330517, -0.0157778, , , , , , , , , , , , , , , , , , , , , , 
0.0335172, -0.0142672, 0.0335172, -0.0119173, 0.0335172, -0.012253, 0.0335172, 0.0179599, 0.0335172, -0.0270237, 0.0335172, -0.0256809, 0.0335172, -0.0099031, 0.0335172, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0339828, -0.0162814, 0.0339828, -0.0109102, 0.0339828, -0.0132601, 0.0339828, 0.0176242, 0.0339828, -0.0276951, 0.0339828, -0.0261845, 0.0339828, -0.0087282, 0.0339828, -0.0159457, , , , , , , , , , , , , , , , , , , , , , 
0.0344483, -0.018967, 0.0344483, -0.0095674, 0.0344483, -0.0135958, 0.0344483, 0.0182956, 0.0344483, -0.0270237, 0.0344483, -0.0258488, 0.0344483, -0.0058747, 0.0344483, -0.01561, , , , , , , , , , , , , , , , , , , , , , 
0.0349138, -0.0199741, 0.0349138, -0.008896, 0.0349138, -0.0129244, 0.0349138, 0.0193027, 0.0349138, -0.0258488, 0.0349138, -0.0263523, 0.0349138, -0.0015106, 0.0349138, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0353793, -0.0186313, 0.0353793, -0.0099031, 0.0353793, -0.0132601, 0.0353793, 0.0186313, 0.0353793, -0.0250095, 0.0353793, -0.0276951, 0.0353793, 0.0025177, 0.0353793, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
0.0358448, -0.0162814, 0.0358448, -0.0105745, 0.0358448, -0.012253, 0.0358448, 0.0179599, 0.0358448, -0.0256809, 0.0358448, -0.0270237, 0.0358448, 0.0038605, 0.0358448, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0363103, -0.0139315, 0.0363103, -0.0104067, 0.0363103, -0.0119173, 0.0363103, 0.0179599, 0.0363103, -0.0253452, 0.0363103, -0.0271916, 0.0363103, 0.0035248, 0.0363103, -0.0213169, , , , , , , , , , , , , , , , , , , , , , 
0.0367759, -0.0125887, 0.0367759, -0.0102388, 0.0367759, -0.0124208, 0.0367759, 0.0172885, 0.0367759, -0.024506, 0.0367759, -0.0276951, 0.0367759, 0.0015106, 0.0367759, -0.0203098, , , , , , , , , , , , , , , , , , , , , , 
0.0372414, -0.0129244, 0.0372414, -0.0104067, 0.0372414, -0.0139315, 0.0372414, 0.0171206, 0.0372414, -0.0243381, 0.0372414, -0.026688, 0.0372414, 0.0005035, 0.0372414, -0.0166171, , , , , , , , , , , , , , , , , , , , , , 
