,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
70,0.0325862,-0.0036927,0.0240024,-0.0411231,-0.0115816,-0.1163195,-0.0065461,0.0428016,0.0082246
71,0.0330517,0.0038605,0.0307164,-0.0441444,-0.0102388,-0.1038987,-0.01561,0.1710384,-0.0015106
72,0.0335172,0.0072175,0.0340734,-0.0491798,-0.0082246,-0.0955062,-0.0179599,0.2487526,-0.0048676
73,0.0339828,0.0075532,0.0374304,-0.0542153,-0.0078889,-0.0871138,-0.0198062,0.2945754,-0.0046998
74,0.0344483,0.0045319,0.0438087,-0.056733,-0.0075532,-0.0757,-0.0280308,0.3402304,-0.0058747
75,0.0349138,-0.0008392,0.0513619,-0.0574044,-0.0082246,-0.0733501,-0.036759,0.3936065,-0.0075532
76,0.0353793,-0.0065461,0.0553902,-0.0580758,-0.0085603,-0.0802319,-0.0384375,0.4533608,-0.0077211
77,0.0358448,-0.0095674,0.0562295,-0.0595865,-0.0068818,-0.0800641,-0.0370947,0.5141222,-0.0095674
78,0.0363103,-0.0099031,0.0595865,-0.0585794,-0.0041962,-0.0639506,-0.0359197,0.571191,-0.01561
79,0.0367759,-0.0129244,0.0642863,-0.0552224,-0.0046998,-0.0404517,-0.0340734,0.6208743,-0.0213169
80,0.0372414,-0.0191348,0.0639506,-0.0525368,-0.0075532,-0.0149386,-0.0327306,0.6589761,-0.0229953
81,0.0377069,-0.0250095,0.0575723,-0.0542153,-0.0109102,0.0082246,-0.0323949,0.6863355,-0.0223239
82,0.0381724,-0.0317235,0.0475013,-0.0626078,-0.0142672,0.0313878,-0.0317235,0.7096666,-0.023331
83,0.0386379,-0.0441444,0.036759,-0.0746929,-0.0179599,0.0642863,-0.0293736,0.733669,-0.027863
84,0.0391034,-0.0626078,0.0287022,-0.0877852,-0.018967,0.1018845,-0.0270237,0.7633783,-0.0320592
85,0.039569,-0.0770428,0.0219883,-0.096849,-0.0182956,0.124712,-0.0250095,0.8026551,-0.0315557
86,0.0400345,-0.0807355,0.0169528,-0.1010452,-0.0179599,0.1243763,-0.023331,0.8572061,-0.0287022
