Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:01:37 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0130345, -0.030045, 0.0145385, -0.0146029, 0.378, -108.0487823, 0.378, 73.6585388, 0.378, 118.0487823, 0.0130345, -0.0169528, 0.0130345, 0.0248417, 0.0130345, -0.0310521, 0.0130345, -0.0035248, 0.0130345, -0.0035248, 0.0130345, 0.0078889, , , , , , , , , , , , , , , , , , , , , , 
0.0135, -0.0406195, 0.0150577, -0.0146029, 0.3915, -112.1951218, 0.3915, 52.3170738, 0.3915, 112.2561035, 0.0135, -0.01561, 0.0135, 0.0253452, 0.0135, -0.0305486, 0.0135, 0.0018463, 0.0135, -0.0028534, 0.0135, -0.0256809, , , , , , , , , , , , , , , , , , , , , , 
0.0139655, -0.0542153, 0.0155769, -0.0167849, 0.405, -114.146347, 0.405, 23.9024391, 0.405, 110.8536606, 0.0139655, -0.01561, 0.0139655, 0.0270237, 0.0139655, -0.030045, 0.0139655, 0.0016785, 0.0139655, -0.0028534, 0.0139655, -0.0528725, , , , , , , , , , , , , , , , , , , , , , 
0.014431, -0.0624399, 0.0160962, -0.0204776, 0.4185, -107.9878082, 0.4185, -10.7926836, 0.4185, 107.5, 0.014431, -0.0157778, 0.014431, 0.026688, 0.014431, -0.0270237, 0.014431, -0.002182, 0.014431, -0.0041962, 0.014431, -0.0540475, , , , , , , , , , , , , , , , , , , , , , 
0.0148966, -0.0575723, 0.0166154, -0.0231632, 0.432, -90.7317123, 0.432, -24.8170738, 0.432, 104.2073212, 0.0148966, -0.0166171, 0.0148966, 0.0253452, 0.0148966, -0.0238346, 0.0148966, -0.0031891, 0.0148966, -0.0038605, 0.0148966, -0.0303807, , , , , , , , , , , , , , , , , , , , , , 
0.0153621, -0.0473335, 0.0171346, -0.0263523, 0.4455, -69.2682953, 0.4455, -19.2682934, 0.4455, 95.3048782, 0.0153621, -0.01561, 0.0153621, 0.0250095, 0.0153621, -0.0246738, 0.0153621, -0.0023499, 0.0153621, -0.0023499, 0.0153621, -0.0015106, , , , , , , , , , , , , , , , , , , , , , 
0.0158276, -0.04448, 0.0176538, -0.0310521, 0.459, -34.9390259, 0.459, -18.4146347, 0.459, 81.0975647, 0.0158276, -0.0142672, 0.0158276, 0.0243381, 0.0158276, -0.0276951, 0.0158276, -0.0062104, 0.0158276, -0.0025177, 0.0158276, 0.0139315, , , , , , , , , , , , , , , , , , , , , , 
0.0162931, -0.0480049, 0.0181731, -0.0397803, 0.4725, -4.2073174, 0.4725, 3.2317073, 0.4725, 71.0975647, 0.0162931, -0.0115816, 0.0162931, 0.023331, 0.0162931, -0.0323949, 0.0162931, -0.0162814, 0.0162931, -0.0041962, 0.0162931, 0.0125887, , , , , , , , , , , , , , , , , , , , , , 
0.0167586, -0.0471656, 0.0186923, -0.0538796, 0.486, 24.8780499, 0.486, 16.280489, 0.486, 52.8658562, 0.0167586, -0.0095674, 0.0167586, 0.0240024, 0.0167586, -0.0350805, 0.0167586, -0.0270237, 0.0167586, -0.0058747, 0.0167586, 0.0041962, , , , , , , , , , , , , , , , , , , , , , 
0.0172241, -0.0419623, 0.0192115, -0.0609293, 0.4995, 44.5121956, 0.4995, 8.2926826, 0.4995, 39.5121956, 0.0172241, -0.0090639, 0.0172241, 0.0236667, 0.0172241, -0.0350805, 0.0172241, -0.0340734, 0.0172241, -0.0058747, 0.0172241, -0.0082246, , , , , , , , , , , , , , , , , , , , , , 
0.0176897, -0.0365911, 0.0197308, -0.0421302, 0.513, 83.4146347, 0.513, -1.097561, 0.513, 10.6097565, 0.0176897, -0.0099031, 0.0176897, 0.0236667, 0.0176897, -0.0330663, 0.0176897, -0.0387732, 0.0176897, -0.0057069, 0.0176897, -0.0223239, , , , , , , , , , , , , , , , , , , , , , 
0.0181552, -0.0307164, 0.02025, -0.012253, 0.5265, 107.9878082, 0.5265, 10.2439022, 0.5265, -14.5731707, 0.0181552, -0.0109102, 0.0181552, 0.0240024, 0.0181552, -0.0310521, 0.0181552, -0.0391089, 0.0181552, -0.005539, 0.0181552, -0.0377661, , , , , , , , , , , , , , , , , , , , , , 
0.0186207, -0.0258488, 0.0207692, 0.0011749, 0.54, 133.7195129, 0.54, 3.8414636, 0.54, -43.6585388, 0.0186207, -0.0115816, 0.0186207, 0.0253452, 0.0186207, -0.0292058, 0.0186207, -0.0357519, 0.0186207, -0.0048676, 0.0186207, -0.0592508, , , , , , , , , , , , , , , , , , , , , , 
0.0190862, -0.0240024, 0.0212885, -0.0028534, 0.5535, 168.8414612, 0.5535, -8.4756098, 0.5535, -72.1951218, 0.0190862, -0.0125887, 0.0190862, 0.0240024, 0.0190862, -0.0251774, 0.0190862, -0.0340734, 0.0190862, -0.0052033, 0.0190862, -0.0944991, , , , , , , , , , , , , , , , , , , , , , 
0.0195517, -0.0241703, 0.0218077, -0.0001678, 0.567, 203.5975647, 0.567, 29.6951218, 0.567, -100.3048782, 0.0195517, -0.012253, 0.0195517, 0.0226596, 0.0195517, -0.0203098, 0.0195517, -0.0344091, 0.0195517, -0.0052033, 0.0195517, -0.1243763, , , , , , , , , , , , , , , , , , , , , , 
0.0200172, -0.024506, 0.0223269, 0.0119173, 0.5805, 22.0731716, 0.5805, -101.1585388, 0.5805, 29.0853672, 0.0200172, -0.0095674, 0.0200172, 0.0229953, 0.0200172, -0.018967, 0.0200172, -0.030045, 0.0200172, -0.0035248, 0.0200172, -0.1163195, , , , , , , , , , , , , , , , , , , , , , 
0.0204828, -0.0250095, 0.0228462, 0.0196384, 0.594, 26.8902454, 0.594, -130.8536682, 0.594, -207.4390259, 0.0204828, -0.0058747, 0.0204828, 0.0226596, 0.0204828, -0.0236667, 0.0204828, -0.0223239, 0.0204828, -0.002182, 0.0204828, -0.054551, , , , , , , , , , , , , , , , , , , , , , 
