Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:42:02
Collection Length (seconds):, 4.995
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0190862, -0.0203098, 0.0190862, -0.0159457, 0.0190862, -0.0085603, 0.0190862, 0.0149386, 0.0190862, -0.0250095, 0.0190862, 0.0419623, 0.0190862, -0.0280308, 0.0190862, -0.0231632, , , , , , , , , , , , , , , , , , , , , , 
0.0195517, -0.0206455, 0.0195517, -0.0092317, 0.0195517, -0.0082246, 0.0195517, 0.0159457, 0.0195517, -0.0246738, 0.0195517, -0.0085603, 0.0195517, -0.0273594, 0.0195517, 0.0011749, , , , , , , , , , , , , , , , , , , , , , 
0.0200172, -0.0226596, 0.0200172, 0.0058747, 0.0200172, -0.0082246, 0.0200172, 0.0159457, 0.0200172, -0.0250095, 0.0200172, -0.0325628, 0.0200172, -0.0283665, 0.0200172, 0.012253, , , , , , , , , , , , , , , , , , , , , , 
0.0204828, -0.0243381, 0.0204828, 0.0125887, 0.0204828, -0.0085603, 0.0204828, 0.0157778, 0.0204828, -0.0260166, 0.0204828, -0.0256809, 0.0204828, -0.030045, 0.0204828, 0.0048676, , , , , , , , , , , , , , , , , , , , , , 
0.0209483, -0.0256809, 0.0209483, 0.0068818, 0.0209483, -0.0082246, 0.0209483, 0.01561, 0.0209483, -0.0265202, 0.0209483, -0.0036927, 0.0209483, -0.0307164, 0.0209483, -0.0075532, , , , , , , , , , , , , , , , , , , , , , 
0.0214138, -0.0260166, 0.0214138, -0.0041962, 0.0214138, -0.0077211, 0.0214138, 0.0159457, 0.0214138, -0.0263523, 0.0214138, 0.0226596, 0.0214138, -0.0297093, 0.0214138, -0.018967, , , , , , , , , , , , , , , , , , , , , , 
0.0218793, -0.0253452, 0.0218793, -0.0142672, 0.0218793, -0.0078889, 0.0218793, 0.0164492, 0.0218793, -0.0270237, 0.0218793, 0.0448157, 0.0218793, -0.027863, 0.0218793, -0.026688, , , , , , , , , , , , , , , , , , , , , , 
0.0223448, -0.0243381, 0.0223448, -0.0213169, 0.0223448, -0.0102388, 0.0223448, 0.0172885, 0.0223448, -0.0276951, 0.0223448, 0.0547189, 0.0223448, -0.0260166, 0.0223448, -0.0276951, , , , , , , , , , , , , , , , , , , , , , 
0.0228103, -0.0238346, 0.0228103, -0.0229953, 0.0228103, -0.011078, 0.0228103, 0.0193027, 0.0228103, -0.0263523, 0.0228103, 0.0532082, 0.0228103, -0.0236667, 0.0228103, -0.0280308, , , , , , , , , , , , , , , , , , , , , , 
0.0232759, -0.0224918, 0.0232759, -0.0213169, 0.0232759, -0.0085603, 0.0232759, 0.0199741, 0.0232759, -0.0253452, 0.0232759, 0.0475013, 0.0232759, -0.0219883, 0.0232759, -0.0263523, , , , , , , , , , , , , , , , , , , , , , 
0.0237414, -0.0204776, 0.0237414, -0.018967, 0.0237414, -0.0062104, 0.0237414, 0.018967, 0.0237414, -0.0256809, 0.0237414, 0.0391089, 0.0237414, -0.0213169, 0.0237414, -0.0102388, , , , , , , , , , , , , , , , , , , , , , 
0.0242069, -0.0206455, 0.0242069, -0.0159457, 0.0242069, -0.0065461, 0.0242069, 0.0179599, 0.0242069, -0.0263523, 0.0242069, 0.030045, 0.0242069, -0.0224918, 0.0242069, 0.0112459, , , , , , , , , , , , , , , , , , , , , , 
0.0246724, -0.0216526, 0.0246724, -0.0135958, 0.0246724, -0.0085603, 0.0246724, 0.0186313, 0.0246724, -0.0271916, 0.0246724, 0.0223239, 0.0246724, -0.0243381, 0.0246724, 0.0196384, , , , , , , , , , , , , , , , , , , , , , 
0.0251379, -0.0209812, 0.0251379, -0.0132601, 0.0251379, -0.0095674, 0.0251379, 0.0198062, 0.0251379, -0.0287022, 0.0251379, 0.0182956, 0.0251379, -0.0250095, 0.0251379, 0.005539, , , , , , , , , , , , , , , , , , , , , , 
0.0256034, -0.018967, 0.0256034, -0.0135958, 0.0256034, -0.0090639, 0.0256034, 0.0193027, 0.0256034, -0.0292058, 0.0256034, 0.0152743, 0.0256034, -0.0256809, 0.0256034, -0.0157778, , , , , , , , , , , , , , , , , , , , , , 
0.026069, -0.0169528, 0.026069, -0.0129244, 0.026069, -0.0082246, 0.026069, 0.0186313, 0.026069, -0.0297093, 0.026069, 0.0139315, 0.026069, -0.0263523, 0.026069, -0.0258488, , , , , , , , , , , , , , , , , , , , , , 
0.0265345, -0.0162814, 0.0265345, -0.0115816, 0.0265345, -0.0072175, 0.0265345, 0.0186313, 0.0265345, -0.0283665, 0.0265345, 0.0139315, 0.0265345, -0.0297093, 0.0265345, -0.0236667, , , , , , , , , , , , , , , , , , , , , , 
0.027, -0.0162814, 0.027, -0.0109102, 0.027, -0.0082246, 0.027, 0.0193027, 0.027, -0.0276951, 0.027, 0.012253, 0.027, -0.0330663, 0.027, -0.0208133, , , , , , , , , , , , , , , , , , , , , , 
0.0274655, -0.0164492, 0.0274655, -0.0125887, 0.0274655, -0.0104067, 0.0274655, 0.0206455, 0.0274655, -0.0273594, 0.0274655, 0.0085603, 0.0274655, -0.0359197, 0.0274655, -0.0193027, , , , , , , , , , , , , , , , , , , , , , 
0.027931, -0.0162814, 0.027931, -0.0142672, 0.027931, -0.0104067, 0.027931, 0.0213169, 0.027931, -0.0263523, 0.027931, 0.0045319, 0.027931, -0.036759, 0.027931, -0.0167849, , , , , , , , , , , , , , , , , , , , , , 
0.0283966, -0.0162814, 0.0283966, -0.01561, 0.0283966, -0.0090639, 0.0283966, 0.0199741, 0.0283966, -0.0263523, 0.0283966, 0.0018463, 0.0283966, -0.036759, 0.0283966, -0.0146029, , , , , , , , , , , , , , , , , , , , , , 
0.0288621, -0.0162814, 0.0288621, -0.0166171, 0.0288621, -0.008896, 0.0288621, 0.0196384, 0.0288621, -0.0271916, 0.0288621, -0.0005035, 0.0288621, -0.0370947, 0.0288621, -0.0229953, , , , , , , , , , , , , , , , , , , , , , 
0.0293276, -0.0162814, 0.0293276, -0.0172885, 0.0293276, -0.0095674, 0.0293276, 0.0193027, 0.0293276, -0.026688, 0.0293276, -0.0063783, 0.0293276, -0.0381018, 0.0293276, -0.0491798, , , , , , , , , , , , , , , , , , , , , , 
0.0297931, -0.0149386, 0.0297931, -0.017792, 0.0297931, -0.0095674, 0.0297931, 0.0186313, 0.0297931, -0.0263523, 0.0297931, -0.0099031, 0.0297931, -0.0377661, 0.0297931, -0.0793927, , , , , , , , , , , , , , , , , , , , , , 
0.0302586, -0.0149386, 0.0302586, -0.0157778, 0.0302586, -0.0102388, 0.0302586, 0.0186313, 0.0302586, -0.0270237, 0.0302586, -0.0028534, 0.0302586, -0.0357519, 0.0302586, -0.0970169, , , , , , , , , , , , , , , , , , , , , , 
0.0307241, -0.014435, 0.0307241, -0.0119173, 0.0307241, -0.0109102, 0.0307241, 0.0198062, 0.0307241, -0.0271916, 0.0307241, 0.0105745, 0.0307241, -0.0327306, 0.0307241, -0.0988632, , , , , , , , , , , , , , , , , , , , , , 
0.0311897, -0.0149386, 0.0311897, -0.008896, 0.0311897, -0.0102388, 0.0311897, 0.0209812, 0.0311897, -0.0263523, 0.0311897, 0.0198062, 0.0311897, -0.0298772, 0.0311897, -0.0950027, , , , , , , , , , , , , , , , , , , , , , 
0.0316552, -0.0135958, 0.0316552, -0.0092317, 0.0316552, -0.0083925, 0.0316552, 0.0186313, 0.0316552, -0.0263523, 0.0316552, 0.0193027, 0.0316552, -0.0250095, 0.0316552, -0.0941634, , , , , , , , , , , , , , , , , , , , , , 
0.0321207, -0.0109102, 0.0321207, -0.0135958, 0.0321207, -0.0068818, 0.0321207, 0.0105745, 0.0321207, -0.0256809, 0.0321207, 0.0129244, 0.0321207, -0.0182956, 0.0321207, -0.0990311, , , , , , , , , , , , , , , , , , , , , , 
0.0325862, -0.008896, 0.0325862, -0.0159457, 0.0325862, -0.0062104, 0.0325862, -0.0072175, 0.0325862, -0.0256809, 0.0325862, 0.0077211, 0.0325862, -0.0142672, 0.0325862, -0.112459, , , , , , , , , , , , , , , , , , , , , , 
0.0330517, -0.008896, 0.0330517, -0.0159457, 0.0330517, -0.0068818, 0.0330517, -0.0270237, 0.0330517, -0.0270237, 0.0330517, 0.0077211, 0.0330517, -0.012253, 0.0330517, -0.0931563, , , , , , , , , , , , , , , , , , , , , , 
0.0335172, -0.0099031, 0.0335172, -0.01561, 0.0335172, -0.0082246, 0.0335172, -0.0397803, 0.0335172, -0.0273594, 0.0335172, 0.0063783, 0.0335172, -0.0095674, 0.0335172, -0.0265202, , , , , , , , , , , , , , , , , , , , , , 
0.0339828, -0.0104067, 0.0339828, -0.0157778, 0.0339828, -0.0082246, 0.0339828, -0.0424659, 0.0339828, -0.0276951, 0.0339828, 0.0015106, 0.0339828, -0.0082246, 0.0339828, 0.0320592, , , , , , , , , , , , , , , , , , , , , , 
0.0344483, -0.0102388, 0.0344483, -0.0166171, 0.0344483, -0.0082246, 0.0344483, -0.0404517, 0.0344483, -0.0287022, 0.0344483, -0.0043641, 0.0344483, -0.0083925, 0.0344483, 0.0726787, , , , , , , , , , , , , , , , , , , , , , 
0.0349138, -0.0102388, 0.0349138, -0.0172885, 0.0349138, -0.0077211, 0.0349138, -0.0354162, 0.0349138, -0.0297093, 0.0349138, -0.008896, 0.0349138, -0.012253, 0.0349138, 0.1515679, , , , , , , , , , , , , , , , , , , , , , 
0.0353793, -0.0112459, 0.0353793, -0.0157778, 0.0353793, -0.0075532, 0.0353793, -0.0297093, 0.0353793, -0.030045, 0.0353793, -0.0112459, 0.0353793, -0.0203098, 0.0353793, 0.2156863, , , , , , , , , , , , , , , , , , , , , , 
0.0358448, -0.0125887, 0.0358448, -0.0132601, 0.0358448, -0.0077211, 0.0358448, -0.0243381, 0.0358448, -0.0283665, 0.0358448, -0.0117494, 0.0358448, -0.0283665, 0.0358448, 0.1827878, , , , , , , , , , , , , , , , , , , , , , 
0.0363103, -0.0130922, 0.0363103, -0.0109102, 0.0363103, -0.008896, 0.0363103, -0.0186313, 0.0363103, -0.0270237, 0.0363103, -0.012253, 0.0363103, -0.0327306, 0.0363103, 0.0991989, , , , , , , , , , , , , , , , , , , , , , 
0.0367759, -0.012253, 0.0367759, -0.0102388, 0.0367759, -0.010071, 0.0367759, -0.0125887, 0.0367759, -0.0270237, 0.0367759, -0.012253, 0.0367759, -0.033402, 0.0367759, 0.0251774, , , , , , , , , , , , , , , , , , , , , , 
0.0372414, -0.0117494, 0.0372414, -0.0115816, 0.0372414, -0.0109102, 0.0372414, -0.0068818, 0.0372414, -0.0276951, 0.0372414, -0.011078, 0.0372414, -0.0310521, 0.0372414, -0.0377661, , , , , , , , , , , , , , , , , , , , , , 
0.0377069, -0.0125887, 0.0377069, -0.012253, 0.0377069, -0.0109102, 0.0377069, -0.0008392, 0.0377069, -0.0290379, 0.0377069, -0.0095674, 0.0377069, -0.0280308, 0.0377069, -0.0728466, , , , , , , , , , , , , , , , , , , , , , 
0.0381724, -0.0132601, 0.0381724, -0.0112459, 0.0381724, -0.0105745, 0.0381724, 0.0050355, 0.0381724, -0.0293736, 0.0381724, -0.0062104, 0.0381724, -0.0246738, 0.0381724, -0.0448157, , , , , , , , , , , , , , , , , , , , , , 
0.0386379, -0.0139315, 0.0386379, -0.0115816, 0.0386379, -0.0102388, 0.0386379, 0.0085603, 0.0386379, -0.0285344, 0.0386379, -0.0031891, 0.0386379, -0.0224918, 0.0386379, 0.0330663, , , , , , , , , , , , , , , , , , , , , , 
0.0391034, -0.0139315, 0.0391034, -0.0137636, 0.0391034, -0.0097353, 0.0391034, 0.0124208, 0.0391034, -0.0273594, 0.0391034, -0.0041962, 0.0391034, -0.0223239, 0.0391034, 0.0763714, , , , , , , , , , , , , , , , , , , , , , 
0.039569, -0.01561, 0.039569, -0.0169528, 0.039569, -0.0092317, 0.039569, 0.0179599, 0.039569, -0.0270237, 0.039569, -0.0105745, 0.039569, -0.0236667, 0.039569, 0.0402838, , , , , , , , , , , , , , , , , , , , , , 
0.0400345, -0.0159457, 0.0400345, -0.018967, 0.0400345, -0.0085603, 0.0400345, 0.0234989, 0.0400345, -0.0270237, 0.0400345, -0.0223239, 0.0400345, -0.0256809, 0.0400345, -0.0186313, , , , , , , , , , , , , , , , , , , , , , 
0.0405, -0.0166171, 0.0405, 0, 0.0405, -0.0085603, 0.0405, 0.027863, 0.0405, -0.0263523, 0.0405, -0.0374304, 0.0405, -0.0287022, 0.0405, -0.0451514, , , , , , , , , , , , , , , , , , , , , , 
0.0409655, -0.0166171, 0.0409655, 0, 0.0409655, -0.0090639, 0.0409655, 0.030045, 0.0409655, -0.0256809, 0.0409655, -0.0505226, 0.0409655, -0.0303807, 0.0409655, -0.0421302, , , , , , , , , , , , , , , , , , , , , , 
