Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:07:04 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0.0130345, 0.0146029, 0.0145385, -0.0303807, 0.378, -94.0243912, 0.378, 11.7073174, 0.378, 13.2317076, 0.0130345, 0.0005035, 0.0130345, 0.0139315, 0.0130345, -0.0117494, 0.0130345, -0.0290379, 0.0130345, -0.0068818, 0.0130345, -0.0976883, , , , , , , 
0.0135, 0.0152743, 0.0150577, -0.0162814, 0.3915, -53.4756126, 0.3915, 115.0609818, 0.3915, 21.7073174, 0.0135, 0.0011749, 0.0135, 0.0137636, 0.0135, -0.0097353, 0.0135, -0.0310521, 0.0135, -0.0075532, 0.0135, -0.1320974, , , , , , , 
0.0139655, 0.0166171, 0.0155769, -0.0115816, 0.405, -15.6707325, 0.405, 256.7073364, 0.405, 41.8292694, 0.0139655, 0.002182, 0.0139655, 0.0139315, 0.0139655, -0.0075532, 0.0139655, -0.0320592, 0.0139655, -0.012253, 0.0139655, -0.1003738, , , , , , , 
0.014431, 0.0261845, 0.0160962, -0.0112459, 0.4185, 135.1829224, 0.4185, 350.4268494, 0.4185, 22.7439022, 0.014431, 0.0035248, 0.014431, 0.0152743, 0.014431, -0.0063783, 0.014431, -0.0323949, 0.014431, -0.0181277, 0.014431, -0.0582437, , , , , , , 
0.0148966, 0.0357519, 0.0166154, -0.0082246, 0.432, 382.1341553, 0.432, -92.5, 0.432, -76.4024429, 0.0148966, 0.0038605, 0.0148966, 0.0164492, 0.0148966, -0.0050355, 0.0148966, -0.030045, 0.0148966, -0.0253452, 0.0148966, -0.0488441, , , , , , , 
0.0153621, 0.0234989, 0.0171346, -0.0082246, 0.4455, 520.1829224, 0.4455, -300.9146423, 0.4455, -229.2682953, 0.0153621, 0.0028534, 0.0153621, 0.01561, 0.0153621, -0.0041962, 0.0153621, -0.026688, 0.0153621, -0.0344091, 0.0153621, -0.0726787, , , , , , , 
0.0158276, 0.002182, 0.0176538, -0.0119173, 0.459, 557.987793, 0.459, -194.0243988, 0.459, -236.7073212, 0.0158276, 0.0018463, 0.0158276, 0.01561, 0.0158276, -0.005539, 0.0158276, -0.0236667, 0.0158276, -0.0397803, 0.0158276, -0.0971847, , , , , , , 
0.0162931, -0.0078889, 0.0181731, -0.012253, 0.4725, 554.4512329, 0.4725, -132.3780518, 0.4725, -271.4634094, 0.0162931, 0.0008392, 0.0162931, 0.0164492, 0.0162931, -0.005539, 0.0162931, -0.0223239, 0.0162931, -0.0407874, 0.0162931, -0.0869459, , , , , , , 
0.0167586, -0.0078889, 0.0186923, -0.0035248, 0.486, 555.4268188, 0.486, -192.3780518, 0.486, -316.5853882, 0.0167586, -0.0003357, 0.0167586, 0.0159457, 0.0167586, -0.005539, 0.0167586, -0.0219883, 0.0167586, -0.0360876, 0.0167586, -0.0491798, , , , , , , 
0.0172241, -0.0090639, 0.0192115, 0.008896, 0.4995, 476.5244141, 0.4995, -131.2804871, 0.4995, -275.4268494, 0.0172241, -0.0031891, 0.0172241, 0.0139315, 0.0172241, -0.0082246, 0.0172241, -0.0229953, 0.0172241, -0.0256809, 0.0172241, -0.0176242, , , , , , , 
